iter	Logloss
0	0.6557647433
1	0.6273868647
2	0.6006280103
3	0.5801105808
4	0.5628964569
5	0.5451048447
6	0.5308380991
7	0.5190695605
8	0.5098251046
9	0.5028344065
10	0.4955822843
11	0.4859746544
12	0.480014764
13	0.4730135847
14	0.467649429
15	0.4632577618
16	0.45934687
17	0.4556324289
18	0.4513038956
19	0.4479642825
20	0.4451733808
21	0.4413531776
22	0.4386724207
23	0.4362291009
24	0.4337725346
25	0.4311016416
26	0.4291848735
27	0.4256736607
28	0.42361765
29	0.4217859163
30	0.4194822466
31	0.4180183287
32	0.4165668426
33	0.4152194088
34	0.4140284023
35	0.4128437845
36	0.4115798851
37	0.4098409758
38	0.4086837213
39	0.4072634009
40	0.4057851625
41	0.4043936498
42	0.4034669438
43	0.4017566878
44	0.4006470183
45	0.3995572494
46	0.3987024425
47	0.3977849707
48	0.3971490953
49	0.3955318611
50	0.3949098741
51	0.3943052199
52	0.3934915104
53	0.3929749585
54	0.3922308518
55	0.3911131948
56	0.3904610051
57	0.389491825
58	0.388337447
59	0.3878612395
60	0.3873100219
61	0.3868039696
62	0.3860396413
63	0.3855778839
64	0.3851230523
65	0.3848376536
66	0.3836609368
67	0.3833335086
68	0.3828783066
69	0.381899701
70	0.3811857662
71	0.3809357924
72	0.3805977041
73	0.3802196355
74	0.3799291259
75	0.3783763589
76	0.3780531528
77	0.377741002
78	0.3775031945
79	0.3769087807
80	0.3766010679
81	0.3763263418
82	0.376023882
83	0.3747142249
84	0.3745270701
85	0.3740094256
86	0.3737907163
87	0.3734852566
88	0.3728452269
89	0.3725621801
90	0.372368149
91	0.3721172802
92	0.3716569734
93	0.3714478379
94	0.3711411868
95	0.3709479829
96	0.3707484397
97	0.3705298476
98	0.3691332178
99	0.3687892408
100	0.3686132153
101	0.3677367176
102	0.3675621983
103	0.3672622137
104	0.3670304369
105	0.3666388009
106	0.3662047463
107	0.3660959102
108	0.3658989656
109	0.3657377916
110	0.365286824
111	0.3651507603
112	0.3649816235
113	0.3648484054
114	0.3645825185
115	0.3642916386
116	0.3641072678
117	0.3639272795
118	0.3636798612
119	0.363460405
120	0.363348001
121	0.3631234894
122	0.3629971106
123	0.3627603895
124	0.362658547
125	0.3625415321
126	0.3623920305
127	0.3622187087
128	0.3621379581
129	0.362011641
130	0.3618458498
131	0.3617232301
132	0.3615792099
133	0.361178358
134	0.3610380352
135	0.3608608122
136	0.3593714199
137	0.3589333716
138	0.358797777
139	0.358600993
140	0.357934353
141	0.3577802282
142	0.3576502939
143	0.3574472446
144	0.3572337265
145	0.3570875396
146	0.3570086964
147	0.3569016071
148	0.356141112
149	0.3552211465
150	0.3551264519
151	0.3550474111
152	0.354941828
153	0.3535140139
154	0.3533668271
155	0.353257349
156	0.3527435439
157	0.3526540157
158	0.3517702035
159	0.3514241215
160	0.3508146218
161	0.3507064893
162	0.3505321552
163	0.3504499726
164	0.3497695059
165	0.349641658
166	0.3495422166
167	0.3494167204
168	0.3493016499
169	0.3487360994
170	0.3486595524
171	0.3484842368
172	0.3484079984
173	0.348116026
174	0.3480163006
175	0.3479172975
176	0.3478079675
177	0.3476648115
178	0.3475417103
179	0.3474255287
180	0.3473418585
181	0.3472488181
182	0.3471908816
183	0.3470836936
184	0.3469952086
185	0.3469017053
186	0.3468178561
187	0.3466914958
188	0.346613455
189	0.34649744
190	0.3463833139
191	0.346245633
192	0.3461593517
193	0.3460667805
194	0.3459422843
195	0.3457475372
196	0.3456281088
197	0.3455379387
198	0.345445028
199	0.3453699254
